file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addInt32/1[int],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addInt32/1[int],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addInt8/1[byte],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addInt8/1[byte],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addDecimal/1[java.math.BigDecimal],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addDecimal/1[java.math.BigDecimal],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\assemble\MycatTest.java,io.mycat.assemble.MycatTest,getMySQLConnection/1[java.lang.String],dsMap,1
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\assemble\MycatTest.java,io.mycat.assemble.MycatTest,"execute/2[java.sql.Connection,java.lang.String]",LOGGER,1
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\assemble\MycatTest.java,io.mycat.assemble.MycatTest,"executeQueryAsText/2[java.sql.Connection,java.lang.String]",LOGGER,1
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\assemble\MycatTest.java,io.mycat.assemble.MycatTest,"executeQuery/2[java.sql.Connection,java.lang.String]",LOGGER,1
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\assemble\MycatTest.java,io.mycat.assemble.MycatTest,addC0/1[java.sql.Connection],DB1,1
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\string\LowerFunctionFactory.java,io.ordinate.engine.function.string.LowerFunctionFactory$Func,getArgs/0,arg,1
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\string\LowerFunctionFactory.java,io.ordinate.engine.function.string.LowerFunctionFactory$Func,isNull/1[io.ordinate.engine.record.Record],isNull,2
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\string\LowerFunctionFactory.java,io.ordinate.engine.function.string.LowerFunctionFactory$Func,Func/1[io.ordinate.engine.function.Function],arg,3
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\string\LowerFunctionFactory.java,io.ordinate.engine.function.string.LowerFunctionFactory$Func,getString/1[io.ordinate.engine.record.Record],arg,2
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\string\LowerFunctionFactory.java,io.ordinate.engine.function.string.LowerFunctionFactory$Func,getString/1[io.ordinate.engine.record.Record],isNull,3
C:\Users\Acer\Desktop\cloned\Mycat2\replica\src\main\java\io\mycat\replica\heartbeat\DatasourceEnum.java,io.mycat.replica.heartbeat.DatasourceEnum,DatasourceEnum/1[int],value,3
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,"InstanceChart/2[java.lang.String,io.mycat.ui.MonitorService]",name,3
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,"InstanceChart/2[java.lang.String,io.mycat.ui.MonitorService]",monitorService,3
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],pqps,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],prt,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],con,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],mem,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],timeline,5
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],cpu,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],lqps,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],thread,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],monitorService,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,play/1[java.lang.String],lrt,1
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\chart\InstanceChart.java,io.mycat.ui.chart.InstanceChart,start/1[io.mycat.ui.chart.Stage],pqps,1
