file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\constant\BooleanTypeConstant.java,io.ordinate.engine.function.constant.BooleanTypeConstant,class,3,5,2,3,1,2,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\proxy\src\main\java\io\mycat\proxy\monitor\MycatMonitorLogCallback.java,io.mycat.proxy.monitor.MycatMonitorLogCallback,class,10,11,1,10,233,1,0,11,0,0.85462844,0.8083442,0.8693322,118,0,118,0,0,0,118,0,15,0,13,13,0,1,0,12,13,0,5,596,0,0,1,0,0,111,0,16,0,16,1,0,0,0,127,1,110
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\adapter\enumerable\RexImpTable.java,org.apache.calcite.adapter.enumerable.RexImpTable$ReflectiveImplementor,innerclass,6,6,0,6,5,2,0,7,0,0.0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,0,0,0,1,0,1,0,1,20,3,0,1,0,1,1,1,3,1,3,1,0,0,0,36,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\replica\src\main\java\io\mycat\replica\ScheduledHanlde.java,io.mycat.replica.ScheduledHanlde,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\record\FunctionSink.java,io.ordinate.engine.record.FunctionSink,interface,3,11,8,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\aggregate\CountAggregateFunction.java,io.ordinate.engine.function.aggregate.CountAggregateFunction,class,5,7,2,5,12,1,0,6,54,0.6666667,0.09090909,0.09090909,12,0,12,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,39,7,0,0,0,0,1,3,1,0,1,0,0,0,0,32,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\math\SubDoubleFunctionFactory.java,io.ordinate.engine.function.math.SubDoubleFunctionFactory$SubDoubleFunc,innerclass,5,5,0,5,7,2,0,3,0,0.44444445,0.6666667,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,2,0,0,29,6,0,0,0,2,0,1,5,1,5,1,0,0,0,17,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\constant\SymbolTypeConstant.java,io.ordinate.engine.function.constant.SymbolTypeConstant,class,4,5,1,4,2,2,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,0,1,1,0,1,0,0,0,0,18,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\util\packet\SendErrorWritePacket.java,io.mycat.util.packet.SendErrorWritePacket,class,4,5,1,4,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,3,0,0,0,0,11,1025,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\cast\CastSymbolToDatetimeFunctionFactory.java,io.ordinate.engine.function.cast.CastSymbolToDatetimeFunctionFactory,class,5,5,0,5,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,1,1,0,0,0,0,0,1,0,15,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\internalexample\src\test\java\io.mycat.drdsrunner\ShardingJoinRBOMegreTest.java,io.mycat.drdsrunner.ShardingJoinRBOMegreTest$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\physicalplan\TopKPlan.java,io.ordinate.engine.physicalplan.TopKPlan,class,19,20,1,19,11,1,0,41,0,0.6875,0.71428573,0.71428573,8,1,7,1,0,0,7,0,0,0,6,1,0,5,0,1,2,0,0,118,8,3,0,1,0,1,4,22,0,29,4,1,0,5,66,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\column\IntColumn.java,io.ordinate.engine.function.column.IntColumn,class,3,5,2,3,6,2,0,2,0,0.4,0.7,1.0,5,1,5,0,0,0,5,0,0,0,2,0,0,1,0,1,1,0,0,23,5,0,0,0,0,0,1,2,0,2,1,0,0,0,12,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\sqlhandler\ddl\AlterTableSQLHandler.java,io.mycat.sqlhandler.ddl.AlterTableSQLHandler,class,12,15,3,12,2,2,0,5,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,79,1,0,0,0,0,0,0,3,0,3,0,1,0,0,29,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\MetaDataConfig.java,io.mycat.MetaDataConfig$STATISTICS,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,18,0,0,0,0,0,0,0,0,0,16,0,0,0,0,23,9,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\test\java\io\mycat\hbt\Db1.java,io.mycat.hbt.Db1,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,15,0,0,0,0,0,0,8,2,0,2,0,0,1,0,4,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\example\src\test\java\io\mycat\xa\BaseXaTest.java,io.mycat.xa.BaseXaTest$Anonymous1,anonymous,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\sqlfunction\datefunction\TimeDiffFunction.java,io.mycat.calcite.sqlfunction.datefunction.TimeDiffFunction,class,3,4,1,3,4,3,0,2,1,0.75,0.0,0.0,2,1,2,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,1,13,2,0,2,0,0,2,0,2,0,2,1,0,0,0,20,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\function\math\MulDoubleFunctionFactory.java,io.ordinate.engine.function.math.MulDoubleFunctionFactory$MulDoubleFunc,innerclass,5,5,0,5,6,2,0,3,0,0.4,0.9,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,0,0,3,2,0,0,26,5,0,0,0,2,0,1,5,1,5,1,0,0,0,17,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\util\ApplicationContext.java,io.mycat.util.ApplicationContext,class,34,44,10,34,243,1,0,203,3009,0.96296304,0.08227465,0.3708409,83,18,54,25,4,0,58,0,0,0,27,9,0,27,0,0,25,0,58,2096,89,35,69,17,18,66,33,171,27,139,5,0,26,2,414,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\linq4j\EnumerableDefaults.java,org.apache.calcite.linq4j.EnumerableDefaults$Anonymous10,anonymous,5,5,0,5,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,1,0,0,0,0,2,0,2,0,1,0,0,14,-1,0
C:\Users\Acer\Desktop\cloned\Mycat2\assistant\src\main\java\io\mycat\ui\SchemaObjectCell.java,io.mycat.ui.SchemaObjectCell,class,2,8,6,2,3,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,1,0,1,0,0,0,10,1,0
