file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],deliveryDto,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],deliveryJson,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],url,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],order,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-service\src\main\java\com\yami\shop\service\OrderItemService.java,com.yami.shop.service.OrderItemService,getOrderItemsByOrderNumber/1[java.lang.String],orderNumber,0
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-security\yami-shop-security-common\src\main\java\com\yami\shop\security\common\dto\RefreshTokenDTO.java,com.yami.shop.security.common.dto.RefreshTokenDTO,setRefreshToken/1[java.lang.String],refreshToken,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,listRoleIdByUserId/1[java.lang.Long],userId,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,deleteBatch/1[java.lang.Long[]],roleIds,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,updateRoleAndRoleMenu/1[com.yami.shop.sys.model.SysRole],role,5
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-sys\src\main\java\com\yami\shop\sys\service\impl\SysRoleServiceImpl.java,com.yami.shop.sys.service.impl.SysRoleServiceImpl,saveRoleAndRoleMenu/1[com.yami.shop.sys.model.SysRole],role,5
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,save/1[com.yami.shop.bean.model.Message],message,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,update/1[com.yami.shop.bean.model.Message],message,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,"page/2[com.yami.shop.bean.model.Message,com.yami.shop.common.util.PageParam<com.yami.shop.bean.model.Message>]",messages,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,"page/2[com.yami.shop.bean.model.Message,com.yami.shop.common.util.PageParam<com.yami.shop.bean.model.Message>]",page,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,"page/2[com.yami.shop.bean.model.Message,com.yami.shop.common.util.PageParam<com.yami.shop.bean.model.Message>]",message,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,release/1[java.lang.Long],id,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,release/1[java.lang.Long],message,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,delete/1[java.lang.Long[]],ids,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,cancel/1[java.lang.Long],id,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,cancel/1[java.lang.Long],message,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,info/1[java.lang.Long],id,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-admin\src\main\java\com\yami\shop\admin\controller\MessageController.java,com.yami.shop.admin.controller.MessageController,info/1[java.lang.Long],message,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-service\src\main\java\com\yami\shop\service\impl\BasketServiceImpl.java,com.yami.shop.service.impl.BasketServiceImpl,updateShopCartItem/1[com.yami.shop.bean.model.Basket],basket,1
